,Product_name,Product_price,Product_rating,Product_review,Product_page
0,Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,890",4.2,863 Ratings & 66 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLqL4gzdgcW5mThY%2BLWV6rxdkeDqVolEsrN%2Fd%2FyhPpRpKw%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
1,Lenovo Ideapad Slim 5 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Lig...,"₹58,990",4.4,700 Ratings & 82 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-slim-5-ryzen-7-octa-core-4700u-8-gb-512-gb-ssd-windows-10-home-14are05-thin-light-laptop/p/itm74bdb1c4b2516?pid=COMFXVAS6FYXYMHW&lid=LSTCOMFXVAS6FYXYMHWII0UO7&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLpAye4ZgcsHVWiRSwL2OkfrxNodbw%2BeN0UqDqSb6JIWRA%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
2,DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5320 Thin and Light Laptop,"₹78,190",4.5,8 Ratings & 0 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-inspiron-5320-thin-light-laptop/p/itm98ea325ac2499?pid=COMGFPGXDA6KTNXY&lid=LSTCOMGFPGXDA6KTNXY9OGB6Q&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGFPGXDA6KTNXY.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
3,DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light L...,"₹39,990",4.2,117 Ratings & 10 Reviews,https://flipkart.com/search?q=dell+laptop/dell-vostro-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm94af7689e9e9a?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7R1RMWX&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGH53NQJHWAYP7.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
4,DELL Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Metal Laptop Thin and Light...,"₹67,990",4.7,22 Ratings & 0 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-new-inspiron-15-metal-laptop-thin-light/p/itm5f4212e9c967a?pid=COMGJ75HG3KKPEQS&lid=LSTCOMGJ75HG3KKPEQSJMDBXM&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGJ75HG3KKPEQS.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
5,DELL Core i5 12th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Lig...,"₹57,990",3.8,25 Ratings & 2 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itm148ac85e4b92b?pid=COMGKAVGAGWWHZ2Y&lid=LSTCOMGKAVGAGWWHZ2YTPN3MS&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGKAVGAGWWHZ2Y.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
6,DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,"₹39,800",4.2,430 Ratings & 35 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itm582b9b4a031f2?pid=COMG9NYDK7VGYKU4&lid=LSTCOMG9NYDK7VGYKU4N0GKFO&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMG9NYDK7VGYKU4.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
7,Lenovo IdeaPad 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,"₹51,990",4.2,280 Ratings & 21 Reviews,https://flipkart.com/search?q=dell+laptop/lenovo-ideapad-3-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itmfd5941701b3c5?pid=COMGGR9SBTFZCNDU&lid=LSTCOMGGR9SBTFZCNDU84OXGZ&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=en_IIcA8TZys88KI8D6NZLy5F5O41wXPKw9XV5O45rRqLoTMJwVqVKkwN45iuaVhb%2FtQ32hLMZD3Kjj226mn4u9DA%3D%3D&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
8,DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) D560841WIN9S Thin and Ligh...,"₹42,490",4.2,433 Ratings & 39 Reviews,https://flipkart.com/search?q=dell+laptop/dell-inspiron-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-d560841win9s-thin-light-laptop/p/itmd6765e212ebb5?pid=COMGG45GXQXPHZFW&lid=LSTCOMGG45GXQXPHZFWAE3FGY&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGG45GXQXPHZFW.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
9,DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Light Laptop,"₹57,990",3.9,28 Ratings & 2 Reviews,https://flipkart.com/search?q=dell+laptop/dell-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-new-inspiron-15-laptop-thin-light/p/itmf4b0a685bcc18?pid=COMGJ75HAXTTTV58&lid=LSTCOMGJ75HAXTTTV58DKOUI3&marketplace=FLIPKART&q=dell+laptop%2Fsearch%3Fq%3Ddell+laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=43078ebe-f0c8-4036-bc16-8ea5695f6497.COMGJ75HAXTTTV58.SEARCH&ppt=None&ppn=None&ssid=r9ik9nm7k00000001676713334397&qH=e336894ec2d276ce
