,product_name,product_price,product_rating,productPage_link
0,DELL S Series 27 inch Full HD IPS Panel Ultra Slim Bezel Monitor (S2721HNM / S2721HN),"₹15,249",4.4,https://www.flipkart.com/dell-s-series-27-inch-full-hd-ips-panel-ultra-slim-bezel-monitor-s2721hnm-s2721hn/p/itme14d367b6a471?pid=MONGYDFQE2JJHNF3&lid=LSTMONGYDFQE2JJHNF3HYP52D&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_1&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGYDFQE2JJHNF3.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
1,DELL P-series 24 inch Full HD LED Backlit IPS Panel Monitor (P2422H),"₹14,377",4.4,https://www.flipkart.com/dell-p-series-24-inch-full-hd-led-backlit-ips-panel-monitor-p2422h/p/itmcce9041abdf73?pid=MONG5YMBWYE7HAWB&lid=LSTMONG5YMBWYE7HAWBBQ5XRF&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_2&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG5YMBWYE7HAWB.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
2,DELL S Series 24 inch Full HD IPS Panel Monitor (S2421HNM / S2421HN),"₹11,999",4.5,https://www.flipkart.com/dell-s-series-24-inch-full-hd-ips-panel-monitor-s2421hnm-s2421hn/p/itm60f8947b5f259?pid=MONGYDFQTN8ZTEHG&lid=LSTMONGYDFQTN8ZTEHGUGWX0A&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_3&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGYDFQTN8ZTEHG.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
3,"DELL S Series 23.8 inch Full HD IPS Panel with Inbuilt Speaker, Flicker-Free Screen with Comfort View ...","₹13,800",4.3,https://www.flipkart.com/dell-s-series-23-8-inch-full-hd-ips-panel-inbuilt-speaker-flicker-free-screen-comfort-view-monitor-s2421h/p/itm1c804e2fbf6df?pid=MONGYDFQF2FZKZCZ&lid=LSTMONGYDFQF2FZKZCZGGJUJ1&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_4&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGYDFQF2FZKZCZ.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
4,DELL 19.5 inch HD Monitor (D2020H),"₹7,999",4.3,https://www.flipkart.com/dell-19-5-inch-hd-monitor-d2020h/p/itme05fdd6a6578a?pid=MONFNNMFPZ6BPWSM&lid=LSTMONFNNMFPZ6BPWSMSPTSBV&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_5&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONFNNMFPZ6BPWSM.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
5,DELL 24 inch Full HD LED Backlit IPS Panel Monitor (24 inch ( P2422H) - Full HD Led Monitor - Wall Mou...,"₹14,250",4.3,https://www.flipkart.com/dell-24-inch-full-hd-led-backlit-ips-panel-monitor-24-p2422h-wall-mountable-height-adjustable-pivot-hdmi-vga-display-port-usb-3-2-gen-1-99-srgb/p/itm6d8a16642165a?pid=MONG4XZUEB4XFQYQ&lid=LSTMONG4XZUEB4XFQYQGS94NF&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_6&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONG4XZUEB4XFQYQ.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
6,DELL E Series 22 inch Full HD VA Panel with Height Adjustable Stand Monitor (E-2222HS),"₹11,199",Null,https://www.flipkart.com/dell-e-series-22-inch-full-hd-va-panel-height-adjustable-stand-monitor-e-2222hs/p/itm8c867ea7f6d8d?pid=MONGFDBNYATYTJCZ&lid=LSTMONGFDBNYATYTJCZVOOVBX&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_7&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGFDBNYATYTJCZ.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
7,DELL 18.5 inch HD LED Backlit TN Panel Monitor (D1918H),"₹7,699",4.3,https://www.flipkart.com/dell-18-5-inch-hd-led-backlit-tn-panel-monitor-d1918h/p/itmewm8z6awyx9rr?pid=MONEWM8ZKY38PWVP&lid=LSTMONEWM8ZKY38PWVPYRSDVB&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_8&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONEWM8ZKY38PWVP.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
8,DELL Gaming 27 inch Curved Full HD LED Backlit VA Panel Ultra Slim Bezel Gaming Monitor (S2721HGF),"₹26,599",4.9,https://www.flipkart.com/dell-gaming-27-inch-curved-full-hd-led-backlit-va-panel-ultra-slim-bezel-monitor-s2721hgf/p/itm7dbcb03a8afeb?pid=MONGFG99YTYSH46E&lid=LSTMONGFG99YTYSH46EMUPCM0&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_9&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGFG99YTYSH46E.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
9,"DELL 24 inch Full HD LED Backlit IPS Panel with 99% sRGB Color Gamut, Flicker Free Technology Monitor ...","₹12,699",4,https://www.flipkart.com/dell-24-inch-full-hd-led-backlit-ips-panel-99-srgb-color-gamut-flicker-free-technology-monitor-s2421hnm/p/itmd0cc5f2b3ec2c?pid=MONGHHUTSSY8QF8D&lid=LSTMONGHHUTSSY8QF8DASJ36Y&marketplace=FLIPKART&store=6bo%2Fg0i%2F9no&srno=b_1_10&otracker=dynamic_omu_infinite_Best%2Bof%2BElectronics_1_1.dealCard.OMU_INFINITE_BK9ZVR1JH3RT&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_3_L2_view-all&fm=organic&iid=13ba3582-6611-46cd-a788-d6fd0b1f40f3.MONGHHUTSSY8QF8D.SEARCH&ppt=None&ppn=None&ssid=qv6802ubw00000001676560332289
